ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
418794786,2026-07-31T19:07:13,2026-07-31T19:07:42,sell,0.01,0.01,XAUUSDm,4048.905,4048.758,,,,,0.15,,,user
418738912,2026-07-31T16:17:28,2026-07-31T16:18:05,buy,0.01,0.01,XAUUSDm,4044.62,4044.885,4044.668,,,,0.27,,,user
418737629,2026-07-31T16:15:16,2026-07-31T16:16:33,sell,0.01,0.01,XAUUSDm,4045.946,4044.544,4045.874,,,,1.41,,,user
418554660,2026-07-31T13:00:41,2026-07-31T13:04:57,buy,0.01,0.01,XAUUSDm,4039.19,4039.329,4039.329,,,,0.14,,,sl
418546793,2026-07-31T12:54:46,2026-07-31T12:58:51,buy,0.01,0.01,XAUUSDm,4045.532,4040.748,4040.748,,,,-4.78,,,sl
418538926,2026-07-31T12:46:44,2026-07-31T12:49:27,buy,0.01,0.01,XAUUSDm,4044.627,4041.872,4041.872,,,,-2.76,,,sl
418527764,2026-07-31T12:32:45,2026-07-31T12:46:31,sell,0.01,0.01,USOILm,83.444,83.759,83.759,,,,-3.15,,,sl
418519474,2026-07-31T12:25:36,2026-07-31T12:32:34,buy,0.01,0.01,USOILm,83.625,83.455,83.462,83.657,,,-1.7,,,sl
418508016,2026-07-31T12:06:40,2026-07-31T12:13:12,buy,0.01,0.01,USOILm,83.592,83.598,83.598,84.654,,,0.06,,,sl
418499769,2026-07-31T11:50:14,2026-07-31T12:02:01,sell,0.01,0.01,USOILm,83.256,83.554,83.554,,,,-2.98,,,sl
418472972,2026-07-31T10:58:19,2026-07-31T11:16:02,buy,0.01,0.01,XAUUSDm,4054.496,4055.517,4055.517,,,,1.02,,,sl
418464937,2026-07-31T10:33:14,2026-07-31T10:48:42,buy,0.01,0.01,XAUUSDm,4055.756,4055.827,4055.827,,,,0.07,,,sl
418092422,2026-07-30T20:32:50,2026-07-30T22:11:22,sell,0.01,0.01,USOILm,82.837,82.838,82.838,,,,-0.01,,,sl
418055825,2026-07-30T17:54:59,2026-07-30T17:55:31,buy,0.01,0.01,XAUUSDm,4103.557,4101.771,4101.771,,,,-1.79,,,sl
418042559,2026-07-30T17:27:54,2026-07-30T17:31:02,buy,0.01,0.01,USOILm,82.556,82.558,82.558,,,,0.02,,,sl
418040719,2026-07-30T17:22:17,2026-07-30T17:26:03,buy,0.01,0.01,XAUUSDm,4105.815,4105.846,4105.846,,,,0.03,,,sl
418036714,2026-07-30T17:11:49,2026-07-30T17:16:46,buy,0.01,0.01,USOILm,82.727,82.729,82.729,,,,0.02,,,sl
418035790,2026-07-30T17:07:00,2026-07-30T17:09:07,buy,0.01,0.01,XAUUSDm,4108.2,4107.8460000000005,4106.2,,,,-0.35,,,user
418031866,2026-07-30T16:55:23,2026-07-30T17:02:48,buy,0.01,0.01,XAUUSDm,4107.73,4107.736,4107.736,,,,0.01,,,sl
418029764,2026-07-30T16:50:08,2026-07-30T16:54:05,buy,0.01,0.01,XAUUSDm,4109.432,4107.119,4107.119,,,,-2.31,,,sl
418022034,2026-07-30T16:35:00,2026-07-30T16:37:25,buy,0.01,0.01,XAUUSDm,4113.54,4111.628,4111.628,,,,-1.91,,,sl
418021201,2026-07-30T16:33:54,2026-07-30T16:34:33,buy,0.01,0.01,XAUUSDm,4115.246,4113.392,4113.392,,,,-1.86,,,sl
418018632,2026-07-30T16:27:44,2026-07-30T16:34:19,buy,0.01,0.01,XAUUSDm,4117.114,4113.683,4113.683,4123.879,,,-3.43,,,sl
418020716,2026-07-30T16:32:28,2026-07-30T16:33:42,buy,0.01,0.01,XAUUSDm,4115.194,4115.284,4115.284,,,,0.09,,,sl
418011716,2026-07-30T16:14:12,2026-07-30T16:19:15,sell,0.01,0.01,XAUUSDm,4113.609,4115.577,4116.674,,,,-1.97,,,user
418006955,2026-07-30T16:07:04,2026-07-30T16:11:43,sell,0.01,0.01,XAUUSDm,4111.75,4111.688,4111.688,,,,0.06,,,sl
417999165,2026-07-30T15:56:10,2026-07-30T16:00:13,sell,0.01,0.01,XAUUSDm,4108.234,4111.215999999999,4110.704,,,,-2.99,,,sl
417997846,2026-07-30T15:54:40,2026-07-30T15:55:07,sell,0.01,0.01,XAUUSDm,4106.218,4108.62,4108.62,,,,-2.4,,,sl
417996477,2026-07-30T15:51:35,2026-07-30T15:53:10,sell,0.01,0.01,XAUUSDm,4106.991,4106.959,4106.959,,,,0.03,,,sl
417995326,2026-07-30T15:49:15,2026-07-30T15:51:19,sell,0.01,0.01,XAUUSDm,4105.5,4107.48,4107.48,,,,-1.98,,,sl
